Article;Title;Unit;Count;Type;Price;GOST;Package;Characteristic
;Мука Сокольническая;;;Мука;32.50 руб.;; 1 кг;
;Мука высший сорт ;;;Мука;20 руб./кг;;50 кг;
;Мука пшеничная (1 сорт, высший сорт);;;Мука;;;;
;"Мука ""Макфа"" в/с ";;;Мука;278.20 руб.;;10 кг;
;Мука пшеничная высший сорт;;;Мука;от 13.20 до 14.50 руб./кг;;;
;Мука Высшего сорта;;;Мука;15.50 руб./кг;;;
;Мука пшеничная;;;Мука;;;;
;Мука пшеничная Гост высший сорт;;;Мука;;;5, 10. 50 кг;
;Мука хлебопекарная в/с (ГОСТ);;;Мука;14100;;;
;Мука хлебопекарная I/c (ГОСТ);;;Мука;13600;;;
;Мука хлебопекарная II/c (ГОСТ);;;Мука;13400;;;
;Мука хлебопекарная пшеничная обойная;;;Мука;14600;;;
;Мука ржаная сеяная;;;Мука;11900;;;
;Мука ржаная обдирная;;;Мука;10300;;;
;Мука хлебопекарная ржаная цельная;;;Мука;10300;;;
;Мука ржаная обойная;;;Мука;10300;;;
;Мука овсяная;;;Мука;17700;;;
;Мука пшеничная в/с ГОСТ;т;;Мука;14000р/т;;;кл.28,бел.58-61,ИДК-75-85
;Мука пшеничная ТУ;;;Мука;;;;кл.24-27,бел.42-58,ИДК-75-85
;Мука пшеничная 1-ый сорт ГОСТ;;;Мука;;;;кл.30,бел.42-48,ИДК-75-85
;Мука ржаная;;;Мука;;;;
;сеяная;;;Мука;;;;
;Мука 2-ой сорт ГОСТ;;;Мука;;;;кл.25,бел.15-20,ИДК 90
1;Сахар кусковой твердый прес. (1х0,4кг)х30;;;Сахар;28,8;;;
2;Сахар кусковой твердый прес. (1х0,8кг)х15;;;Сахар;48,2;;;
3;Сахар леденцовый белый Confer (1х0,15кг)х16;;;Сахар;54,2;;;
4;Сахар леденцовый коричневый Confer (1х0,15кг)х16;;;Сахар;62,1;;;
5;Сахар порционный ( 1х 5 г ) х 1500;;;Сахар;0,5;;;
6;Сахар рафинад («Ленсахар») 90 ( 1х0,5кг) х 40;;;Сахар;25,9;;;
7;Сахар рафинад , «Русский сахар» ( 1х0,5кг ) х 40;;;Сахар;28;;;
8;Сахар рафинад , «Русский сахар» ( 1х1кг ) х 20;;;Сахар;50,5;;;
9;Сахар рафинад , «Чайкофский» ( 1х0,5кг ) х 40;;;Сахар;30,2;;;
10;Сахар рафинад , «Чайкофский» ( 1х1кг ) х 20;;;Сахар;57;;;
11;Сахар рафинад , «Чайкофский», фигурн. ( 1х0,5кг ) х 12;;;Сахар;46,2;;;
12;Сахар-песок весовой (1 х 1кг) х 50;;;Сахар;46,5;;;
13;Сахар-песок тёмно-коричневый. п/пак ( 1х0,9кг ) х 10 «Брауни»;;;Сахар;98,9;;;
14;Сахар-песок фас. в п/пак. ( 1х1кг ) х 12 «Русский»;;;Сахар;53,8;;;
15;Сахар-песок фас. (Расф.)  в п/пак. ( 1х1кг ) х 21;;;Сахар;45;;;
16;Сахар-песок фас.б/пак ( 1х0,9кг ) х 10 «Чайкофский»;;;Сахар;45,4;;;
1;Соль «Помол 1» ( 1х1 кг) х 18;;;Соль;16,9;;;
2;Соль поваренная пищевая мелкая высший сорт (1 х 1кг) х 18;;;Соль;21,3;;;
3;Соль в солонке  (1х500 г) х 10;;;Соль;30,4;;;
4;Соль в солонке йод. ( 1х 500 г ) х 20;;;Соль;30,6;;;
5;Соль в солонке йод. ( 1х250 г ) х 21;;;Соль;27,2;;;
6;Соль поваренная пищевая мелкая йодированная высший сорт (1х1кг) х 18, «Салина»;;;Соль;21,8;;;
;разрыхлитель теста 10г Спецаромат;;;Разрыхлитель;1,03;;;
;разрыхлитель теста 12г Агроимпорт;;;Разрыхлитель;1,24;;;
